小辛🐉央卫4k频道1⃣,#genre#
CCTV-1"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225655/index.m3u8
CCTV-1"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226032/index.m3u8
CCTV-1"4k,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV-2"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226217/index.m3u8
CCTV-2"4k,http://39.135.189.8:6610/040000001000/35100001000000060000000000000003/index.m3u8?A
CCTV-3"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225967/index.m3u8
CCTV-3"4k,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV-4"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225958/index.m3u8
CCTV-5"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225970/index.m3u8
CCTV-5"4k,http://82.156.243.185:36888/av3a/cctv5n.m3u8
CCTV-5"4k,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV-6"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225973/index.m3u8
CCTV-7"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225924/index.m3u8
CCTV-8"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225976/index.m3u8
CCTV-9"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225930/index.m3u8
CCTV-10"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226118/index.m3u8
CCTV-11"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225703/index.m3u8
CCTV-12"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225771/index.m3u8
CCTV-13"4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225865/index.m3u8
CCTV-14"4k少儿,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225974/index.m3u8 
北京卡酷"4k少儿,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225795/index.m3u8
小辛🐉动画片,http://192.144.185.155:6000/rtp/225.1.8.240:4120$北京市电信
CCTV-15"4k音乐,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225868/index.m3u8
CCTV-16"4k奥林匹克,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225909/index.m3u8
CCTV-17"4k农业农村,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225909/index.m3u8
浙江卫视🐉"4k,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
湖南卫视4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226226/index.m3u8
湖南卫视4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225910/index.m3u8
湖南卫视4k,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
河南卫视4k,http://1.94.31.214/php/hntv.php?id=hnws
江苏卫视4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221226223/index.m3u8
东方卫视4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225780/index.m3u8
东方卫视4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225886/index.m3u8
广东卫视4k,http://sxydajtvlive.sx.chinamobile.com/PLTV/25/224/3221225969/index.m3u8
湖南卫视HD,http://207.56.13.146:81/cdnlive/hnws.m3u8
晋城新闻,shturl.cc/IbOpMDXidmCouz4hkJ0vmcBQ4FdaykFZywYVcQhfmnQZ6Hjsv8
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8

小辛🐉超清央卫2⃣,#genre#
CCTV1HD,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV2HD,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV3HD,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV4HD,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV5HD,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV5+HD,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV6HD,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV7HD,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV8HD,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV9HD,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV10HD,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV11HD,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV12HD,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV13HD,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV14HD,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV15HD,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV16HD,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV17HD,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV兵器科技,http://38.75.136.137:98/gslb/dsdqpub/bqkj.m3u8?auth=testpub
CCTB高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
浙江卫视,http://38.75.136.137:98/gslb/dsdqpub/zjwshd.m3u8?auth=testpub
晋城新闻,shturl.cc/IbOpMDXidmCouz4hkJ0vmcBQ4FdaykFZywYVcQhfmnQZ6Hjsv8
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
